District,Block,Village,Avg_Actual_2024,Avg_Predicted_2024,Avg_Predicted_2025,Avg_Difference,Avg_Abs_Difference,Risk_Level
Ahmednagar,Akole,Akole,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Akole,Bhandardara,1.875,2.093,2.119,-0.425,0.425,SAFE
Ahmednagar,Akole,Kalsubai,4.375,4.493,4.432,-1.96,1.96,SAFE
Ahmednagar,Akole,Kotul,23.205,19.275,18.917,3.446,3.446,CRITICAL
Ahmednagar,Akole,Rajur,2.125,3.0,2.993,-1.184,1.184,SAFE
Ahmednagar,Akole,Runbodi,17.49,10.802,10.32,6.507,6.507,HIGH
Ahmednagar,Jamkhed,Arangaon,3.925,3.289,3.735,0.294,0.312,SAFE
Ahmednagar,Jamkhed,Jamkhed,7.515,6.561,6.072,-0.11,0.376,MODERATE
Ahmednagar,Jamkhed,Savargaon,9.51,8.113,8.008,-0.764,5.476,HIGH
Ahmednagar,Karjat,Baradgaon Sudrik,1.23,6.105,5.232,-6.241,6.241,HIGH
Ahmednagar,Karjat,Bhitkewadi,5.87,6.234,5.937,-2.31,2.31,MODERATE
Ahmednagar,Karjat,Jogeshwarwadi,13.7,10.632,10.185,2.53,3.863,HIGH
Ahmednagar,Karjat,Karpadi,4.175,5.78,5.826,-3.456,5.314,HIGH
Ahmednagar,Karjat,Kolwadi,2.39,5.159,4.81,-5.286,5.286,HIGH
Ahmednagar,Karjat,Mirajgaon,8.8,8.815,9.132,-0.668,0.668,MODERATE
Ahmednagar,Karjat,Pategaon,6.91,5.036,5.419,1.413,3.692,MODERATE
Ahmednagar,Karjat,Rassin,6.44,6.912,7.252,-2.346,4.732,MODERATE
Ahmednagar,Karjat,Rehekuri,9.275,8.66,8.638,-1.587,7.131,HIGH
Ahmednagar,Karjat,Wadarwadi,8.9,8.914,9.849,-1.333,4.777,MODERATE
Ahmednagar,Karjat,Walvad,3.65,4.921,5.008,-2.629,2.629,MODERATE
Ahmednagar,Kopargaon,Kolpewadi,14.575,6.65,7.708,5.71,5.71,HIGH
Ahmednagar,Kopargaon,Kopargaon,12.575,9.135,9.571,3.096,3.096,MODERATE
Ahmednagar,Kopargaon,Loni-Pravara Nagar,5.61,5.77,5.85,-0.483,1.405,MODERATE
Ahmednagar,Kopargaon,Manjur,6.25,6.69,7.056,-1.608,1.608,MODERATE
Ahmednagar,Kopargaon,Murshatpur,4.26,5.445,5.433,-2.255,2.255,MODERATE
Ahmednagar,Kopargaon,Rahata,11.54,8.522,8.567,1.186,3.048,MODERATE
Ahmednagar,Kopargaon,Shirdi,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Kopargaon,Vesgaon,7.015,6.749,6.907,-1.084,1.436,MODERATE
Ahmednagar,Nagar,Arangaon,8.81,8.541,9.156,-0.994,1.808,MODERATE
Ahmednagar,Nagar,Chas,4.94,5.094,5.184,-1.088,1.088,MODERATE
Ahmednagar,Nagar,Chichondi Patil,9.89,6.556,5.948,2.184,3.6,MODERATE
Ahmednagar,Nagar,Dahigaon,2.505,4.09,3.982,-2.42,2.42,MODERATE
Ahmednagar,Nagar,Dehre,2.775,3.253,3.329,-0.675,0.675,SAFE
Ahmednagar,Nagar,Hivre Bazar,8.81,7.849,8.386,-0.387,1.444,MODERATE
Ahmednagar,Nagar,Jakhangaon,7.355,5.692,6.312,2.242,2.242,MODERATE
Ahmednagar,Nagar,Jeur,7.075,6.183,6.864,-0.129,2.48,MODERATE
Ahmednagar,Nagar,Karanji,4.675,5.563,5.619,-2.78,2.78,MODERATE
Ahmednagar,Nagar,Kaudgaon,3.285,5.02,4.375,-3.123,3.123,MODERATE
Ahmednagar,Nagar,Khadki,13.96,11.59,10.916,0.627,0.666,HIGH
Ahmednagar,Nagar,Khosepuri,1.805,2.461,2.723,-0.553,1.309,SAFE
Ahmednagar,Nagar,Shahpur,3.75,5.091,4.499,-2.666,2.666,MODERATE
Ahmednagar,Nagar,Takle-Kazi,8.125,8.386,8.764,-1.496,1.496,MODERATE
Ahmednagar,Nevasa,Bhanas Hivre,2.79,4.794,5.017,-2.554,2.554,MODERATE
Ahmednagar,Nevasa,Georai,7.45,8.363,7.514,-3.849,4.984,MODERATE
Ahmednagar,Nevasa,Ghodegaon,9.86,7.392,7.594,0.881,5.634,HIGH
Ahmednagar,Nevasa,Gondegaon,12.4,8.978,9.132,1.388,5.776,HIGH
Ahmednagar,Nevasa,Gonegaon,15.715,7.704,9.634,5.706,13.04,CRITICAL
Ahmednagar,Nevasa,Kokona,6.625,4.996,5.475,1.075,1.075,MODERATE
Ahmednagar,Nevasa,Nevasa,11.21,10.401,10.669,-0.636,0.636,HIGH
Ahmednagar,Nevasa,Rastapur,7.275,6.118,6.343,-0.402,2.043,MODERATE
Ahmednagar,Nevasa,Shani Shingnapur,7.6,5.707,5.986,2.06,2.06,MODERATE
Ahmednagar,Nevasa,Shirasgaon,6.205,6.177,6.622,-2.343,2.698,MODERATE
Ahmednagar,Nevasa,Sonai,10.69,8.609,8.604,-0.838,4.786,MODERATE
Ahmednagar,Nevasa,Tamaswadi,15.905,7.329,7.535,7.867,7.867,HIGH
Ahmednagar,Nevasa,Wadala Bhairoba,5.33,5.434,5.723,-0.64,0.64,MODERATE
Ahmednagar,Parner,Malkup,11.7,7.504,7.99,3.24,3.24,MODERATE
Ahmednagar,Parner,Parner,6.305,5.944,5.953,-0.212,0.31,MODERATE
Ahmednagar,Parner,Ralegaon Siddhi,5.28,10.204,9.495,-9.422,9.422,CRITICAL
Ahmednagar,Parner,Supe,2.675,3.467,4.112,-1.646,2.414,MODERATE
Ahmednagar,Parner,Takli-Dhogeswar,6.575,7.326,6.969,-2.343,2.343,MODERATE
