village,year,month,depth_meters
Bhandardara,2024,1,1.3
Kalsubai,2024,1,3.4
Kotul,2024,1,21.7
Rajur,2024,1,2.2
Runbodi,2024,1,15.3
Arangaon,2024,1,3.3
Jamkhed,2024,1,5.0
Jamkhed,2024,1,5.1
Savargaon,2024,1,12.3
Baradgaon Sudrik,2024,1,1.8
Bhitkewadi,2024,1,5.5
Jogeshwarwadi,2024,1,14.3
Karpadi,2024,1,7.7
Kolwadi,2024,1,4.5
Mirajgaon,2024,1,5.6
Mirajgaon,2024,1,11.2
Rassin,2024,1,8.6
Rehekuri,2024,1,12.5
Wadarwadi,2024,1,10.7
Walvad,2024,1,4.2
Kolpewadi,2024,1,15.2
Kopargaon,2024,1,12.0
Loni-Pravara Nagar,2024,1,4.7
Manjur,2024,1,5.4
Murshatpur,2024,1,2.9
Rahata,2024,1,12.1
Vesgaon,2024,1,7.1
Arangaon,2024,1,9.0
Chas,2024,1,4.1
Chichondi Patil,2024,1,3.8
Dahigaon,2024,1,2.2
Dehre,2024,1,2.8
Hivre Bazar,2024,1,7.9
Jakhangaon,2024,1,4.8
Jeur,2024,1,7.5
Karanji,2024,1,5.1
Kaudgaon,2024,1,1.7
Khadki,2024,1,11.4
Khosepuri,2024,1,0.3
Shahpur,2024,1,1.9
Takle-Kazi,2024,1,7.8
Bhanas Hivre,2024,1,2.4
Ghodegaon,2024,1,13.0
Gondegaon,2024,1,14.7
Gonegaon,2024,1,50.0
Kokona,2024,1,5.4
Nevasa,2024,1,11.3
Rastapur,2024,1,7.5
Shani Shingnapur,2024,1,6.1
Shirasgaon,2024,1,7.2
Sonai,2024,1,13.7
Wadala Bhairoba,2024,1,5.5
Malkup,2024,1,8.0
Parner,2024,1,6.5
Ralegaon Siddhi,2024,1,7.9
Supe,2024,1,3.4
Takli-Dhokeshwar,2024,1,5.5
Bambori,2024,1,6.1
Bramhani,2024,1,2.8
Devlali,2024,1,2.2
Dhamori Bk,2024,1,2.3
Malharwadi,2024,1,7.1
Rahuri,2024,1,12.0
Ambikhalsa,2024,1,16.4
Bote,2024,1,5.8
Chandanapuri,2024,1,12.5
